z-distance,altitude,Cn^2
0,609,4.16580752454066e-14
100.250788778615,604,3.83226700401927e-14
200.50157755723,606,3.77989673276874e-14
300.752366335845,607,3.69125616594868e-14
401.003155114459,600,3.32878214560216e-14
501.253943893074,602,3.28316581967386e-14
601.504732671689,603,3.20607096748941e-14
701.755521450304,604,3.13074590433219e-14
802.006310228919,606,3.08771082500741e-14
902.257099007534,603,2.89750526526965e-14
1002.50788778615,602,2.77363068133243e-14
1102.75867656476,600,2.62878229729007e-14
1203.00946534338,600,2.54150497485514e-14
1303.26025412199,603,2.53143985367334e-14
1403.51104290061,600,2.37548483474871e-14
1503.76183167922,606,2.43757023395719e-14
1604.01262045784,599,2.19830384753571e-14
1704.26340923645,599,2.12523496230045e-14
1804.51419801507,590,1.87911730856292e-14
1904.76498679368,595,1.90900122867347e-14
2005.0157755723,605,2.03794698231277e-14
2105.26656435091,599,1.85631800280535e-14
2205.51735312953,604,1.88574807287358e-14
2305.76814190814,604,1.82296825543691e-14
2406.01893068676,608,1.83353976937923e-14
2506.26971946537,594,1.54295979543042e-14
2606.52050824399,581,1.31167859245354e-14
2706.7712970226,579,1.24327801430119e-14
2807.02208580122,574,1.1440919229936e-14
2907.27287457983,576,1.12812646608716e-14
3007.52366335845,586,1.20373308257107e-14
3107.77445213706,588,1.18688784793328e-14
3208.02524091568,597,1.2539968791756e-14
3308.27602969429,595,1.1885268409388e-14
3408.52681847291,590,1.09365784011959e-14
3508.77760725152,589,1.04688830083028e-14
3609.02839603013,585,9.72962481770326e-15
3709.27918480875,585,9.40601727890208e-15
3809.52997358736,586,9.1830564084493e-15
3909.78076236598,588,9.05390410284884e-15
4010.03155114459,595,9.37635853861816e-15
4110.28233992321,606,1.01003977924422e-14
4210.53312870182,625,1.17744866244479e-14
4310.78391748044,637,1.2812123769968e-14
4411.03470625905,640,1.27555199958399e-14
4511.28549503767,641,1.245058081798e-14
4611.53628381628,646,1.2642479904079e-14
4711.7870725949,659,1.38933948603113e-14
4812.03786137351,662,1.38310975316569e-14
4912.28865015213,670,1.4466812869103e-14
5012.53943893074,691,1.72106925155429e-14
5112.79022770936,698,1.78252926114769e-14
5213.04101648797,709,1.92086873983544e-14
5313.29180526659,708,1.83773067592999e-14
5413.5425940452,717,1.9414311006389e-14
5513.79338282382,727,2.07145090256915e-14
5614.04417160243,725,1.96209265369714e-14
5714.29496038105,728,1.95299258055651e-14
5814.54574915966,725,1.83162708292824e-14
5914.79653793828,730,1.85958751857642e-14
6015.04732671689,729,1.778927994201e-14
6115.29811549551,725,1.65194024209589e-14
6215.54890427412,737,1.79750994464857e-14
6315.79969305274,737,1.73660623858459e-14
6416.05048183135,729,1.54997536453665e-14
6516.30127060997,725,1.43937757813784e-14
6616.55205938858,727,1.41842080849812e-14
6716.8028481672,741,1.57396334650578e-14
6817.05363694581,745,1.58199298991822e-14
6917.30442572443,742,1.48360361740413e-14
7017.55521450304,733,1.3112477553057e-14
7117.80600328166,699,9.06080350114214e-15
7218.05679206027,716,1.03492214232077e-14
7318.30758083889,726,1.10346448153913e-14
7418.5583696175,740,1.22397950676417e-14
7518.80915839612,759,1.42662688502394e-14
7619.05994717473,737,1.10901549313729e-14
7719.31073595335,740,1.10355863415905e-14
7819.56152473196,747,1.14229978269791e-14
7919.81231351057,750,1.13664167702692e-14
8020.06310228919,759,1.1999787113352e-14
8120.3138910678,745,1.00972888560113e-14
8220.56467984642,745,9.75446192250567e-15
8320.81546862503,758,1.07103467480222e-14
8421.06625740365,745,9.10339556706938e-15
8521.31704618226,744,8.70838308642912e-15
8621.56783496088,745,8.49589812337744e-15
8721.81862373949,744,8.12740888858174e-15
8822.06941251811,753,8.57694583042203e-15
8922.32020129672,778,1.05957938506484e-14
9022.57099007534,799,1.25901915637225e-14
9122.82177885395,811,1.36903685695849e-14
9223.07256763257,804,1.23383369485845e-14
9323.32335641118,809,1.2519327288998e-14
9423.5741451898,813,1.25779524252886e-14
9523.82493396841,829,1.4227968670756e-14
9624.07572274703,850,1.69139366564906e-14
9724.32651152564,881,2.22102876859568e-14
9824.57730030426,887,2.27609450633831e-14
9924.82808908287,909,2.73439704653396e-14
10025.0788778615,928,3.1889356260951e-14
10125.3296666401,928,3.07865564671156e-14
10225.5804554187,948,3.62655042468302e-14
10325.8312441973,963,4.06483036225765e-14
10426.0820329759,965,4.00285843577894e-14
